,USD_micb,EUR_micb,RON_micb,USD_bcr,EUR_bcr,RON_bcr,USD_eximbank,EUR_eximbank,RON_eximbank
2023-10-01,17.9,18.95,3.74,18.0,19.05,3.8,18.0,19.04,3.76
2023-10-02,18.0,19.05,3.76,18.0,19.08,3.8,18.0,19.08,3.76
2023-10-03,17.93,19.03,3.76,18.0,19.1,3.8,17.98,19.12,3.78
2023-10-04,17.93,19.03,3.76,18.0,19.1,3.8,17.98,19.12,3.78
2023-10-05,17.93,19.03,3.76,18.0,19.1,3.8,17.98,19.12,3.78
2023-10-06,17.8,19.05,3.78,17.85,19.13,3.82,17.85,19.15,3.78
2023-10-07,17.76,19.01,3.76,17.8,19.03,3.8,17.8,19.06,3.78
